molecule_chembl_id,MIC,InChI,MW,pMIC_ug/mL-1,pMIC_uM,NEW_SMILES
CHEMBL91,10.0,BYBLEWFAAKGYCD-UHFFFAOYSA-N,413.986023788,-1.0,-1.3807657553254853,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
CHEMBL75,0.78,XMAYWYJOQHXEEK-OZXSUGGESA-N,530.148760736,0.1079053973095195,-0.1666403632569873,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
CHEMBL70971,12.5,TWFZGCMQGLPBSX-UHFFFAOYSA-N,191.069476528,-1.0969100130080565,-1.815444839808528,COC(=O)Nc1nc2ccccc2[nH]1
CHEMBL5267986,3.1,XIKGETOZQXNXHV-CPFPKWEUSA-N,376.2249741239999,-0.4913616938342727,-0.9156047879048164,C=CC1OC1(C)CC(C)/C(C)=C/C=C(C)\C=C(OC)\C(=C/C(=O)OC)OC
CHEMBL5179336,25.0,MDFJPAQEPZLTCB-JSVBYLJXSA-N,521.3141234759998,-1.3979400086720375,-1.680520836873237,CC(C)=CCc1ccc2c3c([nH]c2c1)[C@@]1(C)[C@@H](CC[C@@]2(O)[C@@]45O[C@@H]4[C@H](O)[C@@H](C(C)(C)O)O[C@H]5CC[C@@]21C)C3
CHEMBL513635,100.0,QIUGSZAEYGGUPJ-UHFFFAOYSA-N,287.152143532,-2.0,-2.5415751963408715,CCC(C)C(=O)C(Cc1c[nH]c2ccccc12)OC(C)=O
CHEMBL513458,200.0,RWBWMAOKPGSLMN-UHFFFAOYSA-N,298.120509056,-2.3010299956639813,-2.826321421687628,COc1cc(-c2cc3c(O)c(C)ccc3o2)c(C)c(O)c1C
CHEMBL513285,200.0,TZBKBAHAEDHKJP-UHFFFAOYSA-N,298.120509056,-2.3010299956639813,-2.826321421687628,COc1cc(-c2cc3c(O)cccc3o2)c(C)c(OC)c1C
CHEMBL511197,200.0,LNYJPSJEXBTRPO-UHFFFAOYSA-N,256.073558864,-2.3010299956639813,-2.892354258108068,COc1cc(O)cc(-c2cc3c(O)cccc3o2)c1
CHEMBL505058,100.0,WOLNKVVWOKWVJB-LZNKSJHBSA-N,625.3938303399999,-2.0,-2.203561665267205,CC[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL504435,100.0,NUFASKQIWTXKBR-LZNKSJHBSA-N,625.39383034,-2.0,-2.203561665267205,CC(C)[C@@H]1NC(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC1=O
CHEMBL501839,100.0,MNIVLQOKRHODTM-UHFFFAOYSA-N,273.136493468,-2.0,-2.563309520850781,CC(=O)OC(Cc1c[nH]c2ccccc12)C(=O)C(C)C
CHEMBL48310,50.0,FUWUEFKEXZQKKA-UHFFFAOYSA-N,164.083729624,-1.6989700043360187,-2.4835862720351263,CC(C)c1cccc(=O)c(O)c1
CHEMBL477752,100.0,RKFAZBXYICVSKP-WAYWQWQTSA-N,208.109944372,-2.0,-2.6814003920326708,C/C=C\c1cc(OC)c(OC)cc1OC
CHEMBL469036,100.0,MIZMDSVSLSIMSC-VYLWARHZSA-N,639.409480404,-2.0,-2.1939347220468672,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL467139,250.0,VSNVWTRDWTULGY-POZPLHJXSA-N,258.110338296,-2.397940008672037,-2.985866046134517,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)CC[C@H](O)CC1=O
CHEMBL464899,200.0,ZXGSOIIHJOKSSX-UHFFFAOYSA-N,244.109944372,-2.3010299956639813,-2.9131243061514818,COc1ccccc1CCc1cc(O)cc(O)c1
CHEMBL464662,200.0,ZGLHZPWZOCCDAY-UHFFFAOYSA-N,228.115029752,-2.3010299956639813,-2.9425412051872466,Cc1c(O)cc(CCc2ccccc2)cc1O
CHEMBL464321,1.0,ZAOBGQIVGLMBGW-ZOTYWSTISA-N,491.32468816,-0.0,-0.3083271733518127,CCC(C)CC(C)/C=C(\C)[C@H]1O[C@@H](C2=C(O)C([C@]3(O)CCC(=O)C[C@H]3O)CN(C)C2=O)CC[C@@H]1C
CHEMBL463268,6.25,LRXYHMMJJCTUMY-KZXQSYCZSA-N,511.231850396,-0.7958800173440752,-1.086970704421227,COc1ccc2c3c4n(c2c1)[C@H](C=C(C)C)OOC(C)(C)C[C@@H]4N1C(=O)[C@@H]2CCCN2C(=O)[C@]1(O)[C@H]3O
CHEMBL462853,200.0,UJNBNDIUQWFUNM-UHFFFAOYSA-N,240.078644244,-2.3010299956639813,-2.9203521381454136,Cc1c(O)cc(-c2cc3ccccc3o2)cc1O
CHEMBL462852,200.0,LLRJCKLNDNKRTF-UHFFFAOYSA-N,258.12559443600003,-2.3010299956639813,-2.8888770073642727,COc1ccccc1CCc1cc(O)c(C)c(O)c1
CHEMBL462851,200.0,ZPJYSEUYTCMNRN-UHFFFAOYSA-N,298.120509056,-2.3010299956639813,-2.826321421687628,COc1c(C)c(O)c(C)c(-c2cc3c(O)cccc3o2)c1C
CHEMBL462735,12.0,GRVFODKSPHRUNC-UHFFFAOYSA-N,245.141578848,-1.0791812460476249,-1.6894447494100302,CCC(C)C(=O)C(O)Cc1c[nH]c2ccccc12
CHEMBL455737,100.0,IEUFDXNGDNWAKU-MAKNZWJESA-N,611.378180276,-2.0,-2.2134068545184653,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL449756,200.0,LWQZXNMQJHPTQF-UHFFFAOYSA-N,284.104858992,-2.3010299956639813,-2.847236332783655,COc1cc(-c2cc3c(O)cccc3o2)c(C)c(O)c1C
CHEMBL448359,12.5,ZXYYTDCENDYKBR-UHFFFAOYSA-N,178.06299418,-1.0969100130080565,-1.8460339970008663,O=C1CCC(O)c2cccc(O)c21
CHEMBL448235,50.0,DGBICJRAEAUCGO-UHFFFAOYSA-N,239.061614276,-1.6989700043360187,-2.320034565197912,CSC(CC(=O)c1ccccc1N)C(=O)O
CHEMBL4474426,6.25,RQTDORUGVRDBLB-WQRLADHGSA-N,521.3141234759998,-0.7958800173440752,-1.0784608455452744,CC(C)=CCc1cccc2[nH]c3c(c12)C[C@@H]1CC[C@@]2(O)[C@@]45O[C@@H]4[C@H](O)[C@@H](C(C)(C)O)O[C@H]5CC[C@]2(C)[C@@]31C
CHEMBL446988,100.0,PKDCQKBQAKLZBD-SCUYQTRWSA-N,653.4251304679999,-2.0,-2.184516558269679,CC(C)C[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL446318,75.0,UQCSETXJXJTMKO-UMURLBKASA-N,653.4251304679999,-1.8750612633917,-2.059577821661379,CC[C@H](C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C
CHEMBL445987,12.0,AWOMKVFSCPBMJX-UHFFFAOYSA-N,231.125928784,-1.0791812460476249,-1.7150150014995742,CC(C)C(=O)C(O)Cc1c[nH]c2ccccc12
CHEMBL410316,12.5,DBEYVIGIPJSTOR-FHWLQOOXSA-N,379.18959166,-1.0969100130080565,-1.517744010628597,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3
CHEMBL400450,200.0,YMBHBGHDXJGHSV-UHFFFAOYSA-N,190.06299418,-2.3010299956639813,-3.0218240498003914,O=Cc1ccc(C2COC(=O)C2)cc1
CHEMBL388978,50.0,HKSZLNNOFSGOKW-FYTWVXJKSA-N,466.200490692,-1.6989700043360187,-2.030080188426428,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
CHEMBL374159,250.0,FPYJFEHAWHCUMM-UHFFFAOYSA-N,98.000393924,-2.397940008672037,-3.4064614065595125,O=C1C=CC(=O)O1
CHEMBL327919,200.0,RIOXQFHNBCKOKP-UHFFFAOYSA-N,290.137890436,-2.3010299956639813,-2.8381485527451304,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21
CHEMBL268685,128.0,OZOZCKVLUMXFGS-UHFFFAOYSA-N,286.04773804,-2.1072099696478683,-2.650481163666188,O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O
CHEMBL250060,200.0,QUGMHBNQYXZEIU-UHFFFAOYSA-N,172.052429496,-2.3010299956639813,-3.065039725263247,O=Cc1ccc(-c2ccoc2)cc1
CHEMBL244877,12.5,KGVPNLBXJKTABS-UHFFFAOYSA-N,99.0320284,-1.0969100130080565,-2.1008845674476544,Cc1cc(O)no1
CHEMBL2289418,25.0,LHGFTPCSJJDEKV-UHFFFAOYSA-N,409.251797992,-1.3979400086720375,-1.785604448042009,CCNC(c1ccccc1-c1cn(-c2ccccc2)nc1-c1ccc(C)cc1)C(C)C
CHEMBL2287628,1.6,DEIIFEDOBNMWDY-YQVWRLOYSA-N,347.17644013200004,-0.2041199826559248,-0.6626780374013994,CC(C)C[C@@H]1CC[C@H](Cc2ccc(Cl)cc2)[C@@]1(O)Cn1cncn1
CHEMBL2287442,3.1,YDWXBLOQLSPXQY-ZHALLVOQSA-N,347.17644013200004,-0.4913616938342727,-0.9499197485797471,CCCC[C@@H]1CC[C@H](Cc2ccc(Cl)cc2)[C@@]1(O)Cn1cncn1
CHEMBL2287440,1.6,OKIGMIWWMUOWHE-JFIYKMOQSA-N,333.16079006800004,-0.2041199826559248,-0.6805516911433521,CCC[C@@H]1CC[C@H](Cc2ccc(Cl)cc2)[C@@]1(O)Cn1cncn1
CHEMBL2287437,13.0,UFFCRPUNHBSGJK-VYDXJSESSA-N,319.14514000400004,-1.1139433523068367,-1.609016006963481,CC[C@@H]1CC[C@@H](Cc2ccc(Cl)cc2)[C@]1(O)Cn1cncn1
