,molecule_chembl_id,canonical_smiles,standard_value,standard_units,target_chembl_id,target_organism,units,MW,LogP,HBA,HBD,RotatableBonds,violations,uM,pMIC_ug/mL-1,pMIC_uM,NEW_SMILES,ROMol,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Molecule,QED,SA,Dataset
2,CHEMBL268685,O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O,128.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,286.04773804,2.2823999999999995,6,4,1.0,0.0,447.1787562142127,-2.1072099696478683,-2.650481163666188,O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c7b530>,2.2823999999999995,111.13000000000001,0.0,3,6,1,<rdkit.Chem.rdchem.Mol object at 0x7e4137853610>,0.5106223467843569,2.4352844692385354,Botrytis cinerea
3,CHEMBL250060,O=Cc1ccc(-c2ccoc2)cc1,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,172.052429496,2.759100000000001,2,0,2.0,0.0,1161.5548573320248,-2.3010299956639813,-3.065039725263247,O=Cc1ccc(-c2ccoc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c7b760>,2.759100000000001,30.21,0.0,2,2,2,<rdkit.Chem.rdchem.Mol object at 0x7e4137853450>,0.651769950435354,2.0916332722760327,Botrytis cinerea
5,CHEMBL400450,O=Cc1ccc(C2COC(=O)C2)cc1,200.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,190.06299418,1.5295999999999998,3,0,2.0,0.0,1051.535767989148,-2.3010299956639813,-3.0218240498003914,O=Cc1ccc(C2COC(=O)C2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c7b920>,1.5295999999999998,43.370000000000005,0.2727272727272727,2,3,2,<rdkit.Chem.rdchem.Mol object at 0x7e4137853220>,0.5243352580769512,2.8248267335345734,Botrytis cinerea
6,CHEMBL467139,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)CC[C@H](O)CC1=O,250.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,258.110338296,0.3537999999999997,6,1,1.0,0.0,967.9792465249546,-2.3979400086720375,-2.9858660461345172,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)CC[C@H](O)CC1=O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c822d0>,0.3537999999999997,89.9,0.75,1,6,1,<rdkit.Chem.rdchem.Mol object at 0x7e4137853370>,0.6826196080707801,4.167782331057683,Botrytis cinerea
8,CHEMBL466333,C[C@@H]1C[C@@H](O)[C@@H](O)/C=C/[C@@H]2O[C@@H]2C(=O)O1,500.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,214.084123548,-0.6328000000000003,5,2,0.0,0.0,2334.0817955624443,-2.6989700043360187,-3.368116071391856,C[C@@H]1C[C@@H](O)[C@@H](O)/C=C/[C@@H]2O[C@@H]2C(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c818c0>,-0.6328000000000003,79.29,0.7,2,5,0,<rdkit.Chem.rdchem.Mol object at 0x7e41378537d0>,0.31859564880162583,4.911917658359539,Botrytis cinerea
9,CHEMBL446482,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)[C@H]2O[C@H]2/C=C/[C@@H]1O,62.5,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,256.094688232,-0.062,6,1,1.0,0.0,243.8986318262349,-1.7958800173440752,-2.387209364102238,CC(=O)O[C@@H]1C[C@@H](C)OC(=O)[C@H]2O[C@H]2/C=C/[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c82880>,-0.062,85.36,0.6666666666666666,2,6,1,<rdkit.Chem.rdchem.Mol object at 0x7e4137852500>,0.4016277189706503,4.810420856155188,Botrytis cinerea
10,CHEMBL443368,CC(=O)O[C@H]1/C=C/[C@@H]2O[C@@H]2C(=O)O[C@H](C)C[C@H]1O,500.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,256.094688232,-0.062000000000000444,6,1,1.0,0.0,1951.1890546098796,-2.6989700043360187,-3.290299351094182,CC(=O)O[C@H]1/C=C/[C@@H]2O[C@@H]2C(=O)O[C@H](C)C[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7e4134c80190>,-0.062000000000000444,85.36,0.6666666666666666,2,6,1,<rdkit.Chem.rdchem.Mol object at 0x7e4137853840>,0.40162771897065025,4.869769992732896,Botrytis cinerea
11,CHEMBL455287,C[C@@H]1C[C@@H](O)[C@@H](O)/C=C/C=C\C(=O)O1,500.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,198.089208928,0.15600000000000003,4,2,0.0,0.0,2522.4752545177535,-2.6989700043360187,-3.401826914500978,C[C@@H]1C[C@@H](O)[C@@H](O)/C=C/C=C\C(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x7e4134c81ee0>,0.15600000000000003,66.76,0.5,1,4,0,<rdkit.Chem.rdchem.Mol object at 0x7e4137852490>,0.5438669708316428,4.385055790353047,Botrytis cinerea
12,CHEMBL464321,CCC(C)CC(C)/C=C(\C)[C@H]1O[C@@H](C2=C(O)C([C@]3(O)CCC(=O)C[C@H]3O)CN(C)C2=O)CC[C@@H]1C,1.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,491.32468815999994,3.934000000000003,6,3,7.0,0.0,2.033888652731816,-0.0,-0.3083271733518127,CCC(C)CC(C)/C=C(\C)[C@H]1O[C@@H](C2=C(O)C([C@]3(O)CCC(=O)C[C@H]3O)CN(C)C2=O)CC[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c820a0>,3.934000000000003,107.29999999999998,0.7857142857142857,3,7,7,<rdkit.Chem.rdchem.Mol object at 0x7e41378525e0>,0.46592269930385066,5.247403363911535,Botrytis cinerea
13,CHEMBL455737,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,100.0,ug.mL-1,CHEMBL612399,Botrytis cinerea,ug ml-1,611.378180276,2.5163000000000038,9,0,5.0,1.0,163.45825357932705,-2.0,-2.2134068545184653,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,<rdkit.Chem.rdchem.Mol object at 0x7e4134c81e00>,2.5163000000000038,139.83000000000004,0.8064516129032258,1,12,5,<rdkit.Chem.rdchem.Mol object at 0x7e4137852ce0>,0.3388435211403987,5.038803534742049,Botrytis cinerea
