,molecule_chembl_id,canonical_smiles,standard_value,standard_units,target_chembl_id,target_organism,MW,LogP,HBA,HBD,RotatableBonds,violations,uM,pMIC_ug/mL-1,pMIC_uM,NEW_SMILES,ROMol,logP,TPSA,CSP3,NumRings,HetAtoms,RotBonds,Molecule,QED,SA,Dataset
2,CHEMBL393258,COc1cc(O)cc2c1C(=O)O[C@@H](C)CCCCCCC2,100.0,ug.mL-1,CHEMBL612648,Fusarium oxysporum,292.167459248,3.842800000000003,4,1,1.0,0.0,342.02650705429664,-2.0,-2.5340597651827905,COc1cc(O)cc2c1C(=O)O[C@@H](C)CCCCCCC2,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc37d0>,3.842800000000003,55.760000000000005,0.5882352941176471,2,4,1,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2f4c0>,0.798916072327407,3.168201000862803,Fusarium oxysporum
3,CHEMBL211893,CC1CCCCCCCc2cc(O)cc(O)c2C(=O)O1,50.0,ug.mL-1,CHEMBL612648,Fusarium oxysporum,278.151809184,3.5398000000000027,4,2,0.0,0.0,179.63125296391564,-1.6989700043360187,-2.2543818991963285,CC1CCCCCCCc2cc(O)cc(O)c2C(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc2420>,3.5398000000000027,66.76,0.5625,2,4,0,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2f140>,0.7122642676109493,3.199495563603781,Fusarium oxysporum
4,CHEMBL213981,CC1CC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1,100.0,ug.mL-1,CHEMBL612648,Fusarium oxysporum,294.146723804,2.5106000000000015,5,3,0.0,0.0,339.7350745888356,-2.0,-2.5311403861813018,CC1CC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc2730>,2.5106000000000015,86.99,0.5625,2,5,0,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2e810>,0.6399618678599811,3.663886465790955,Fusarium oxysporum
5,CHEMBL265003,COc1cc(OC(C)=O)cc2c1C(=O)OC(C)CCCCCCC2,100.0,ug.mL-1,CHEMBL612648,Fusarium oxysporum,334.17802393200003,4.0625000000000036,5,0,2.0,0.0,299.03233137566815,-2.0,-2.475718146782433,COc1cc(OC(C)=O)cc2c1C(=O)OC(C)CCCCCCC2,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc2880>,4.0625000000000036,61.83,0.5789473684210527,2,5,2,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2f840>,0.6026659126980184,3.2011799331995734,Fusarium oxysporum
6,CHEMBL377185,COc1c(Br)c(O)c(Br)c2c1C(=O)OC(C)CCCCCCC2,12.5,ug.mL-1,CHEMBL612648,Fusarium oxysporum,447.98848338399995,5.3678000000000035,4,1,1.0,1.0,27.767472960034805,-1.0969100130080565,-1.4435363576238553,COc1c(Br)c(O)c(Br)c2c1C(=O)OC(C)CCCCCCC2,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc3ca0>,5.3678000000000035,55.760000000000005,0.5882352941176471,2,6,1,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2fca0>,0.5853295731030964,3.6134052554718927,Fusarium oxysporum
8,CHEMBL378889,CC1CCC(=O)CCCCc2cc(O)cc(O)c2C(=O)O1,100.0,ug.mL-1,CHEMBL612648,Fusarium oxysporum,292.13107374,2.718800000000002,5,2,0.0,0.0,342.0779869394624,-2.0,-2.5341251278000367,CC1CCC(=O)CCCCc2cc(O)cc(O)c2C(=O)O1,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc36f0>,2.718800000000002,83.83,0.5,2,5,0,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2fa70>,0.7182286121565966,3.463690345825264,Fusarium oxysporum
9,CHEMBL234895,C#CS(=O)(=O)c1ccc(C)cc1,0.004,ug.mL-1,CHEMBL612648,Fusarium oxysporum,180.024500496,1.35942,2,0,1.0,0.0,0.022194109683290057,2.3979400086720375,1.653762272012329,C#CS(=O)(=O)c1ccc(C)cc1,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc35a0>,1.35942,34.14,0.1111111111111111,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2eb20>,0.4827661687683124,2.399439157561684,Fusarium oxysporum
10,CHEMBL414896,CO/C=C(/C(=O)OC)c1cc(Cl)ccc1Cn1cc(C2=CCCCC2)nn1,1.5,ug.mL-1,CHEMBL612648,Fusarium oxysporum,387.13496924400005,4.097500000000003,6,0,6.0,0.0,3.8673050298169196,-0.17609125905568124,-0.5874084279669983,CO/C=C(/C(=O)OC)c1cc(Cl)ccc1Cn1cc(C2=CCCCC2)nn1,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc2ff0>,4.097500000000003,66.24000000000001,0.35,3,7,6,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2ec70>,0.42387055266894497,2.9335431446552036,Fusarium oxysporum
11,CHEMBL268133,CO/C=C(/C(=O)OC)c1cc(Cl)ccc1Cn1cc(S(=O)(=O)c2ccc(C)cc2)nn1,0.5,ug.mL-1,CHEMBL612648,Fusarium oxysporum,461.08121942,3.281320000000002,8,0,7.0,0.0,1.0824221143167638,0.3010299956639812,-0.03439665649018819,CO/C=C(/C(=O)OC)c1cc(Cl)ccc1Cn1cc(S(=O)(=O)c2ccc(C)cc2)nn1,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc3840>,3.281320000000002,100.38,0.19047619047619047,3,10,7,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2fd80>,0.302090806101115,2.81367382882601,Fusarium oxysporum
12,CHEMBL399399,CO/C=C(/C(=O)OC)c1cc(Cl)ccc1Cn1cc(-c2ccccc2C=O)nn1,1.0,ug.mL-1,CHEMBL612648,Fusarium oxysporum,411.098583736,3.619600000000002,7,0,7.0,0.0,2.428097949471281,-0.0,-0.3852662021959964,CO/C=C(/C(=O)OC)c1cc(Cl)ccc1Cn1cc(-c2ccccc2C=O)nn1,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc3b50>,3.619600000000002,83.31,0.14285714285714285,3,8,7,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2f8b0>,0.25539010093689957,2.7924371541666293,Fusarium oxysporum
13,CHEMBL234667,CO/C=C(/C(=O)OC)c1cc(Cl)ccc1Cn1cc(-c2ccccc2)nn1,1.0,ug.mL-1,CHEMBL612648,Fusarium oxysporum,383.10366911600005,3.807100000000002,6,0,6.0,0.0,2.6052861255487376,-0.0,-0.415855426646338,CO/C=C(/C(=O)OC)c1cc(Cl)ccc1Cn1cc(-c2ccccc2)nn1,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc29d0>,3.807100000000002,66.24000000000001,0.15,3,7,6,<rdkit.Chem.rdchem.Mol object at 0x7a2419f2ff40>,0.367667462021143,2.5091027850148446,Fusarium oxysporum
54,CHEMBL401764,O=C(/C(Br)=C(\Br)c1cccc([N+](=O)[O-])c1)c1cccc([N+](=O)[O-])c1,6.25,ug.mL-1,CHEMBL612648,Fusarium oxysporum,453.8799955559999,4.844300000000003,5,0,5.0,0.0,13.704757853374433,-0.7958800173440752,-1.1368713664809649,O=C(/C(Br)=C(\Br)c1cccc([N+](=O)[O-])c1)c1cccc([N+](=O)[O-])c1,<rdkit.Chem.rdchem.Mol object at 0x7a2419dc2500>,4.844300000000003,103.35,0.0,2,9,5,<rdkit.Chem.rdchem.Mol object at 0x7a2419d84190>,0.2773008026370414,2.640753514049191,Fusarium oxysporum
